Date,Metric,Region,Product Category,Customer Segment,Marketing Channel,Product Seasonality,customer_segment,Value,YearMonth
2024-01-01,Product Affinity Score,North,Beer,High-Value,Email,Summer,Mid Value,87.45,2024-01
2024-01-02,Product Affinity Score,North,Beer,High-Value,Social Media,Spring,High Value,123.2,2024-01
2024-01-03,Product Affinity Score,North,Beer,High-Value,SMS,Winter,High Value,65.6,2024-01
2024-01-04,Product Affinity Score,North,Beer,High-Value,Direct Mail,Fall,Mid Value,55.81,2024-01
2024-01-05,Product Affinity Score,North,Beer,Medium-Value,Email,Spring,Low Value,110.11,2024-01
2024-01-06,Product Affinity Score,North,Beer,Medium-Value,Social Media,Winter,Low Value,52.06,2024-01
2024-01-07,Product Affinity Score,North,Beer,Medium-Value,SMS,Winter,Low Value,133.24,2024-01
2024-01-08,Product Affinity Score,North,Beer,Medium-Value,Direct Mail,Fall,High Value,68.18,2024-01
2024-01-09,Product Affinity Score,North,Beer,Low-Value,Email,Summer,High Value,80.42,2024-01
2024-01-10,Product Affinity Score,North,Beer,Low-Value,Social Media,Summer,High Value,93.19,2024-01
2024-01-11,Product Affinity Score,North,Beer,Low-Value,SMS,Spring,Low Value,111.19,2024-01
2024-01-12,Product Affinity Score,North,Beer,Low-Value,Direct Mail,Winter,Mid Value,79.21,2024-01
2024-01-13,Product Affinity Score,North,Wine,High-Value,Email,Fall,Low Value,95.61,2024-01
2024-01-14,Product Affinity Score,North,Wine,High-Value,Social Media,Winter,Mid Value,69.97,2024-01
2024-01-15,Product Affinity Score,North,Wine,High-Value,SMS,Winter,Low Value,230.23,2024-01
2024-01-16,Product Affinity Score,North,Wine,High-Value,Direct Mail,Winter,High Value,67.05,2024-01
2024-01-17,Product Affinity Score,North,Wine,Medium-Value,Email,Winter,Low Value,144.89,2024-01
2024-01-18,Product Affinity Score,North,Wine,Medium-Value,Social Media,Spring,Mid Value,130.84,2024-01
2024-01-19,Product Affinity Score,North,Wine,Medium-Value,SMS,Fall,High Value,59.77,2024-01
2024-01-20,Product Affinity Score,North,Wine,Medium-Value,Direct Mail,Spring,Low Value,94.02,2024-01
2024-01-21,Product Affinity Score,North,Wine,Low-Value,Email,Spring,High Value,239.77,2024-01
2024-01-22,Product Affinity Score,North,Wine,Low-Value,Social Media,Fall,Low Value,75.88,2024-01
2024-01-23,Product Affinity Score,North,Wine,Low-Value,SMS,Fall,Low Value,81.17,2024-01
2024-01-24,Product Affinity Score,North,Wine,Low-Value,Direct Mail,Fall,High Value,104.67,2024-01
2024-01-25,Product Affinity Score,North,Spirits,High-Value,Email,Winter,Low Value,146.96,2024-01
2024-01-26,Product Affinity Score,North,Spirits,High-Value,Social Media,Fall,Low Value,143.95,2024-01
2024-01-27,Product Affinity Score,North,Spirits,High-Value,SMS,Summer,High Value,109.79,2024-01
2024-01-28,Product Affinity Score,North,Spirits,High-Value,Direct Mail,Spring,Mid Value,58.85,2024-01
2024-01-29,Product Affinity Score,North,Spirits,Medium-Value,Email,Winter,High Value,54.52,2024-01
2024-01-30,Product Affinity Score,North,Spirits,Medium-Value,Social Media,Fall,Low Value,88.87,2024-01
2024-01-01,Customer Engagement Score,North,Beer,High-Value,Email,Fall,Mid Value,92.9,2024-01
2024-01-02,Customer Engagement Score,North,Beer,High-Value,Social Media,Fall,Low Value,125.45,2024-01
2024-01-03,Customer Engagement Score,North,Beer,High-Value,SMS,Spring,High Value,140.26,2024-01
2024-01-04,Customer Engagement Score,North,Beer,High-Value,Direct Mail,Summer,High Value,132.65,2024-01
2024-01-05,Customer Engagement Score,North,Beer,Medium-Value,Email,Summer,High Value,139.55,2024-01
2024-01-06,Customer Engagement Score,North,Beer,Medium-Value,Social Media,Winter,Mid Value,51.08,2024-01
2024-01-07,Customer Engagement Score,North,Beer,Medium-Value,SMS,Fall,High Value,59.13,2024-01
2024-01-08,Customer Engagement Score,North,Beer,Medium-Value,Direct Mail,Spring,Mid Value,145.01,2024-01
2024-01-09,Customer Engagement Score,North,Beer,Low-Value,Email,Spring,Mid Value,107.34,2024-01
2024-01-10,Customer Engagement Score,North,Beer,Low-Value,Social Media,Fall,Low Value,94.84,2024-01
2024-01-11,Customer Engagement Score,North,Beer,Low-Value,SMS,Fall,High Value,82.87,2024-01
2024-01-12,Customer Engagement Score,North,Beer,Low-Value,Direct Mail,Fall,High Value,125.24,2024-01
